id,id2,state,districtNumber,districtName,party,district_url,representative,representative_photo_url,total_awards
5001500US3403,3403,New Jersey,3,ta-ordinal-rd-m,republican,https://en.wikipedia.org/wiki/New_Jersey%27s_3rd_congressional_district,Tom MacArthur,https://upload.wikimedia.org/wikipedia/commons/0/00/Tom_MacArthur_official_photo_%28cropped%29.jpg,0
5001500US3404,3404,New Jersey,4,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/New_Jersey%27s_4th_congressional_district,Chris Smith,https://upload.wikimedia.org/wikipedia/commons/c/c6/Chris_Smith_official_photo_%28cropped%29.jpg,206617
5001500US3405,3405,New Jersey,5,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_Jersey%27s_5th_congressional_district,Josh Gottheimer,https://upload.wikimedia.org/wikipedia/commons/3/3a/Josh_Gottheimer_Photo_%28cropped%29.jpg,7457039.82
5001500US3406,3406,New Jersey,6,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_Jersey%27s_6th_congressional_district,Frank Pallone,https://upload.wikimedia.org/wikipedia/commons/d/d8/Frank_Pallone%2C_Official_Portrait%2C_113th_Congress_%28cropped%29.jpg,27748.85
5001500US3407,3407,New Jersey,7,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/New_Jersey%27s_7th_congressional_district,Leonard Lance,https://upload.wikimedia.org/wikipedia/commons/a/a4/Leonard_Lance_official_congressional_photo_%28cropped_2%29.jpg,931123.29
5001500US3408,3408,New Jersey,8,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_Jersey%27s_8th_congressional_district,Albio Sires,https://upload.wikimedia.org/wikipedia/commons/d/d8/Albio_Sires_%28cropped%29.jpg,92530
5001500US3409,3409,New Jersey,9,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_Jersey%27s_9th_congressional_district,Bill Pascrell,https://upload.wikimedia.org/wikipedia/commons/2/2f/Bill_pascrell_375_%28cropped%29.jpg,450153.42
5001500US3410,3410,New Jersey,10,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_Jersey%27s_10th_congressional_district,Donald Payne Jr.,https://upload.wikimedia.org/wikipedia/commons/9/91/Donald_Payne_Jr_Official_Portrait_113th_Congress_%28cropped%29.png,83332.22
5001500US3411,3411,New Jersey,11,ta-ordinal-th-m,republican,https://en.wikipedia.org/wiki/New_Jersey%27s_11th_congressional_district,Rodney Frelinghuysen,https://upload.wikimedia.org/wikipedia/commons/7/74/Rodney_Frelinghuysen_official_photo%2C_114th_Congress_%28cropped%29.jpg,2956067.04
5001500US3412,3412,New Jersey,12,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/New_Jersey%27s_12th_congressional_district,Bonnie Watson Coleman,https://upload.wikimedia.org/wikipedia/commons/c/cb/Bonnie_Watson_Coleman_%28cropped_2%29.jpg,10823968.16
5001500US3501,3501,New Mexico,1,ta-ordinal-st-m,democrat,https://en.wikipedia.org/wiki/New_Mexico%27s_1st_congressional_district,Michelle Lujan Grisham,https://upload.wikimedia.org/wikipedia/commons/9/9e/Michelle_Lujan_Grisham_official_photo_%28cropped%29.jpg,995029844.1199999
5001500US3502,3502,New Mexico,2,ta-ordinal-nd-m,republican,https://en.wikipedia.org/wiki/New_Mexico%27s_2nd_congressional_district,Steve Pearce,https://upload.wikimedia.org/wikipedia/commons/2/2b/Steve_Pearce_official_photo_%28cropped%29.jpg,0
