story,lowercase,count
01: The Girl Who Raised Pigeons,cradle,1
01: The Girl Who Raised Pigeons,crayon,1
01: The Girl Who Raised Pigeons,crazily,1
01: The Girl Who Raised Pigeons,crazy,1
01: The Girl Who Raised Pigeons,create,1
01: The Girl Who Raised Pigeons,creatures,1
01: The Girl Who Raised Pigeons,creed,4
01: The Girl Who Raised Pigeons,crib,1
01: The Girl Who Raised Pigeons,cried,1
01: The Girl Who Raised Pigeons,criminals,1
01: The Girl Who Raised Pigeons,crispness,1
01: The Girl Who Raised Pigeons,crossed,3
01: The Girl Who Raised Pigeons,crude,1
01: The Girl Who Raised Pigeons,cry,6
01: The Girl Who Raised Pigeons,cubicle,2
01: The Girl Who Raised Pigeons,cubicles,4
01: The Girl Who Raised Pigeons,cup,2
01: The Girl Who Raised Pigeons,curiosity,2
01: The Girl Who Raised Pigeons,cursed,1
01: The Girl Who Raised Pigeons,curtain,1
01: The Girl Who Raised Pigeons,curtains,1
01: The Girl Who Raised Pigeons,cut,2
01: The Girl Who Raised Pigeons,da,2
01: The Girl Who Raised Pigeons,daddy,8
01: The Girl Who Raised Pigeons,damn,2
01: The Girl Who Raised Pigeons,dark,2
01: The Girl Who Raised Pigeons,darlene,10
01: The Girl Who Raised Pigeons,daughter,8
01: The Girl Who Raised Pigeons,day,11
01: The Girl Who Raised Pigeons,days,6
01: The Girl Who Raised Pigeons,dead,13
01: The Girl Who Raised Pigeons,death,4
01: The Girl Who Raised Pigeons,decaying,1
01: The Girl Who Raised Pigeons,decided,1
01: The Girl Who Raised Pigeons,deep,1
01: The Girl Who Raised Pigeons,deliberate,1
01: The Girl Who Raised Pigeons,demand,1
01: The Girl Who Raised Pigeons,demanding,1
01: The Girl Who Raised Pigeons,deny,1
01: The Girl Who Raised Pigeons,department,1
01: The Girl Who Raised Pigeons,deserved,1
01: The Girl Who Raised Pigeons,despite,2
01: The Girl Who Raised Pigeons,despoiled,1
01: The Girl Who Raised Pigeons,detached,1
01: The Girl Who Raised Pigeons,details,1
01: The Girl Who Raised Pigeons,devastate,1
01: The Girl Who Raised Pigeons,diaper,1
01: The Girl Who Raised Pigeons,diapers,2
01: The Girl Who Raised Pigeons,die,1
01: The Girl Who Raised Pigeons,died,2
01: The Girl Who Raised Pigeons,different,1
01: The Girl Who Raised Pigeons,difficult,2
01: The Girl Who Raised Pigeons,direction,2
01: The Girl Who Raised Pigeons,dirt,3
01: The Girl Who Raised Pigeons,dirty,1
01: The Girl Who Raised Pigeons,disappear,1
01: The Girl Who Raised Pigeons,disappeared,1
01: The Girl Who Raised Pigeons,discarded,1
01: The Girl Who Raised Pigeons,discovered,2
01: The Girl Who Raised Pigeons,disease,1
01: The Girl Who Raised Pigeons,diseases,1
01: The Girl Who Raised Pigeons,dish,1
01: The Girl Who Raised Pigeons,dismantled,1
01: The Girl Who Raised Pigeons,dispose,1
01: The Girl Who Raised Pigeons,dog,5
01: The Girl Who Raised Pigeons,dogpbosco,1
01: The Girl Who Raised Pigeons,doin,2
01: The Girl Who Raised Pigeons,doll,1
01: The Girl Who Raised Pigeons,dolls,1
01: The Girl Who Raised Pigeons,dominated,1
01: The Girl Who Raised Pigeons,done,6
01: The Girl Who Raised Pigeons,doodle,1
01: The Girl Who Raised Pigeons,door,12
01: The Girl Who Raised Pigeons,doors,2
01: The Girl Who Raised Pigeons,doorway,1
01: The Girl Who Raised Pigeons,double,2
01: The Girl Who Raised Pigeons,downstairs,3
01: The Girl Who Raised Pigeons,dozens,1
01: The Girl Who Raised Pigeons,dozing,1
01: The Girl Who Raised Pigeons,drag,1
01: The Girl Who Raised Pigeons,dragging,1
01: The Girl Who Raised Pigeons,drank,1
01: The Girl Who Raised Pigeons,drawer,1
01: The Girl Who Raised Pigeons,dreaded,1
01: The Girl Who Raised Pigeons,dreamed,1
01: The Girl Who Raised Pigeons,dreamin,1
01: The Girl Who Raised Pigeons,dreams,1
01: The Girl Who Raised Pigeons,dress,1
01: The Girl Who Raised Pigeons,dressed,1
01: The Girl Who Raised Pigeons,dresser,1
01: The Girl Who Raised Pigeons,drew,1
01: The Girl Who Raised Pigeons,dried,1
01: The Girl Who Raised Pigeons,drink,2
01: The Girl Who Raised Pigeons,drop,1
01: The Girl Who Raised Pigeons,dropped,2
01: The Girl Who Raised Pigeons,drove,1
01: The Girl Who Raised Pigeons,drug,1
01: The Girl Who Raised Pigeons,dug,1
01: The Girl Who Raised Pigeons,dullwhite,1
01: The Girl Who Raised Pigeons,dumped,1
01: The Girl Who Raised Pigeons,dust,1
01: The Girl Who Raised Pigeons,dutch,1
